$ICAO,$Registration,$Operator,$Type,$ICAO Type,#CMPG,$Tag 1,$#Tag 2,$#Tag 3,Category,$#Link$
$40709D,G-LNAC,Linc and Notts Air Ambulance,AgustaWestland AW.169,A169,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.ambucopter.org.uk/$
$407152,G-DSAA,Dorset and Somerset Air Ambulance,AgustaWestland AW.169,A169,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.dsairambulance.org.uk$
$4071A9,G-WROL,Wales Air Ambulance,Eurocopter EC145,EC45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.walesairambulance.com$
$4071AA,G-WENU,Welsh Air Ambulance,Eurocopter EC145,EC45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.walesairambulance.com$
$4071AB,G-WOBR,Welsh Air Ambulance,Eurocopter EC145,EC45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.walesairambulance.com$
$4071EB,G-TCAA,The Children's Air Ambulance,AgustaWestland AW.169,A169,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://theairambulanceservice.org.uk/$
$4072DA,G-HHEM,Essex and Herts Air Ambulance,AgustaWestland AW.169,A169,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.ehaat.org$
$407377,G-IASB,IAS Medical Ltd,B200 Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.iasmedical.com$
$407386,G-PICU,Children's Air Ambulance,AW.189,A189,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://theairambulanceservice.org.uk/childrens-air-ambulance$
$407424,G-RMAA,Babcock MCS Onshore,Eurocopter EC145,EC45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.babcockinternational.com/what-we-do/aviation$
$40755A,G-SASX,Specialist Aviation Services,AgustaWestland AW.169,A169,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.specialist-aviation.com/$
$407685,G-EMSS,Babcock MCS Onshore,Eurocopter EC145,EC45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.babcockinternational.com/what-we-do/aviation$
$407734,G-MGPS,Magpas Air Ambulance,AgustaWestland AW.169,A169,Civ,Air Ambo,Flying Doctors,Medical Evac,Flying Doctors,https://www.magpas.org.uk/$
$4077C7,G-GSAS,Scottish Ambulance Service,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.scottishambulance.com/$
$4077C8,G-ISAS,Scottish Ambulance Service,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.scottishambulance.com/$
$407933,G-CRWL,Cornwall Air Ambulance Trust,AgustaWestland AW.189,A189,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://cornwallairambulancetrust.org$
$40793D,G-DAAS,Devon Air Ambulance,Eurocopter EC145,EC45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.daat.org$
$407AF6,G-DRLA,The Air Ambulance Service,AgustaWestland AW.109 SP Grand New,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://theairambulanceservice.org.uk/$
$407AF7,G-WNAS,The Air Ambulance Service,AgustaWestland AW.109 SP Grand New,A109,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://theairambulanceservice.org.uk/$
$407C16,G-JAAM,IAS Medical Ltd,Diamond Aircraft DA62,DA62,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.iasmedical.com$
$407CBF,G-LNCC,Linc and Notts Air Ambulance,AgustaWestland AW.169,A169,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.ambucopter.org.uk/$
$440028,OE-GPS,Tyrol Air Ambulance,Cessna Citation Bravo,C55B,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.taa.at/en/air-ambulance$
$4400D0,OE-GBD,Tyrol Air Ambulance,IAI 1125 Astra SPX,ASTR,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.taa.at/en/air-ambulance$
$440890,OE-GKW,Tyrol Air Ambulance,IAI 1125 Astra SP,ASTR,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.taa.at/en/air-ambulance$
$440891,OE-GBE,Tyrol Air Ambulance,IAI 1125 Astra SPX,ASTR,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.taa.at/en/air-ambulance$
$440996,OE-XRE,ARA Flugrettung,Eurocopter H145,EC45,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.ara-flugrettung.at/8/$
$4409A5,OE-GFC,Tyrol Air Ambulance,IAI 1125 Astra SP,ASTR,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://www.taa.at/en/air-ambulance$
$44B906,OO-NHF,Service dAide Medicale dUrgence,MD 900 Explorer,EXPL,Civ,Air Ambo,Medical Evac,NOTAR,Flying Doctors,https://www.samu-urgences-de-france.fr/fr/$
$46788B,LJ-3,Finnish Air Force,Learjet 35A,LJ35,Civ,Flying Doctors,Bizjet,Quality Is Our Strength,Other Air Forces,https://en.wikipedia.org/wiki/Finnish_Air_Force$
$46788C,LJ-2,Finnish Air Force,Learjet 35A,LJ35,Civ,Flying Doctors,Bizjet,Quality Is Our Strength,Other Air Forces,https://en.wikipedia.org/wiki/Finnish_Air_Force$
$46788D,LJ-1,Finnish Air Force,Learjet 35A,LJ35,Civ,Flying Doctors,Bizjet,Quality Is Our Strength,Other Air Forces,https://en.wikipedia.org/wiki/Finnish_Air_Force$
$4686E7,LN-OOX,Norsk Luftambulanse,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47129E,HA-HBI,Hungarian Air Ambulance,Eurocopter EC135 P2,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://youtu.be/CF6UAHZjSNM$
$47129F,HA-HBJ,Hungarian Air Ambulance,Eurocopter EC135 P2,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://youtu.be/CF6UAHZjSNM$
$4712A0,HA-HBK,Hungarian Air Ambulance,Eurocopter EC135 P2,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://youtu.be/CF6UAHZjSNM$
$4712A1,HA-HBL,Hungarian Air Ambulance,Eurocopter EC135 P2,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://youtu.be/CF6UAHZjSNM$
$4712A2,HA-HBM,Hungarian Air Ambulance,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://youtu.be/CF6UAHZjSNM$
$4712A3,HA-HBN,Hungarian Air Ambulance,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://youtu.be/CF6UAHZjSNM$
$4780B8,LN-OOA,Norsk Luftambulanse,MBB-Kawasaki BK 117 D-3,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47838C,LN-ODL,Norsk Luftambulanse,AgustaWestland AW.139,A139,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47839C,LN-OOB,Norsk Luftambulanse,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$4783B2,LN-ODM,Norsk Luftambulanse,AgustaWestland AW.139,A139,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47879D,LN-OON,Norsk Luftambulanse,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$4787FE,LN-BSF,Babcock Scandinavian AirAmbulance,B200GT Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$47885F,LN-BSE,Babcock Scandinavian AirAmbulance AB,B200GT Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com$
$47887E,LN-BSD,Babcock Scandinavian AirAmbulance,B200GT Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$47888D,LN-BSC,Babcock Scandinavian AirAmbulance,B200GT Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$478891,LN-BSA,Babcock Scandinavian AirAmbulance,B200GT Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$478E3F,LN-EUJ,Babcock Scandinavian AirAmbulance,Cessna Citation Latitude,C68A,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$478EA8,LN-BSI,Babcock Scandinavian AirAmbulance,B200GT Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$479555,LN-BSG,Babcock Scandinavian AirAmbulance,B200GT Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$47A1CE,LN-OOZ,Norsk Luftambulanse,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47A20D,LN-OOW,Norsk Luftambulanse,Eurocopter EC135 P2+,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47A210,LN-OOV,Norsk Luftambulanse,Eurocopter EC135,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47A2F4,LN-OOU,Norsk Luftambulanse,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47A37B,LN-OOT,Norsk Luftambulanse,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47A37F,LN-OOS,Norsk Luftambulanse,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47A39C,LN-OOR,Norsk Luftambulanse,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47A3AB,LN-OOP,Norsk Luftambulanse,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47A3BB,LN-OOO,Norsk Luftambulanse,MBB-Kawasaki BK 117 D-2,BK17,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47A48C,LN-SAA,Babcock Scandinavian AirAmbulance,Cessna Citation Latitude,C68A,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
$47BF10,LN-OUK,Norsk Luftambulanse,Eurocopter EC135 T3H,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47BF37,LN-OUJ,Norsk Luftambulanse,Eurocopter EC135 T3,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47BF3E,LN-OUG,Norsk Luftambulanse,Eurocopter EC135 T3H,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47BFC7,LN-OUH,Norsk Luftambulanse,Eurocopter EC135 T3H,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47BFC8,LN-OUF,Norsk Luftambulanse,Eurocopter EC135 T3H,EC35,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,https://norskluftambulanse.no/$
$47C007,LN-BSH,Babcock Scandinavian AirAmbulance,B200GT Super King Air,BE20,Civ,Air Ambo,Medical Evac,Saving Lives,Flying Doctors,http://babcocknordics.com/$
